Yorum,Tahmin
"
Bu yılın ses getiren uluslararası filmlerinden biri Arjantin'den geldi. İlk gösterimini Venedik Film Festivali'nde yapan Santiago Mitre yönetmenliğindeki ""Argentina, 1985"" ülkesinin Oscar aday adayı da olarak ...",tarafsız
"
Pandemiyle, ekonomik güçlüklerle, dijital platformların önlenemez yükselişiyle tarihinin en zorlu dönemlerinden birini geçiren Türk sinemasının can simitlerinden biri Caner Alper ve Mehmet Binay yönetmenliğind...",tarafsız
"
Gerek eleştirel anlamda gerekse izleyici tepkileriyle beklentilerin altında kalmış olsa da sezonun izlemeye en hevesli olduğum filmlerinden biriydi ""See How They Run"". Filmin ansızın Disney+ Türkiye kataloguna...",tarafsız
"
Tekrara düşmeye mahkum film türlerinin başında gelen savaş cephesi filmleri, buna karşın sıklıkla yeni örnekleriyle karşımıza çıkmaya devam ediyor. Mümkün olduğunca uzak durmaya çalıştığım bu türün beni izleme...",tarafsız
"
Danimarka sinemasının önemli isimlerinden Tobias Lindholm, bir süredir dizilerle Amerikan piyasasına hazırlık içerisindeydi. Yönetmen ve senaristin ülkesi dışındaki ilk uzun metrajlı filmi ise Charles Graeber'...",tarafsız
"
Senaristi olduğu Masum, hem senaristi hem yönetmeni olduğu Bir Başkadır ile yerli dijital dizilerimizin en parlak örneklerinden ikisini üreten Berkun Oya, bu kez en iyi yerli dijital platform filmimizle karşım...",tarafsız
"
Yılın en çok dikkat çeken ilk filmlerinden biri İskoç yönetmen Charlotte Wells'in sessiz sedasız ülkemizde çektiği ""Aftersun"" oldu. İlk gösterimini Cannes Film Festivali'nde yapan film, o zamandan bu yana olağ...",tarafsız
"
İzlediğim her filminden nefret etmeme rağmen bir sonraki filmini merak ettirmeyi başaran Arjantinli yönetmen Gaspar Noé, bu kez aykırı yönünü frenleyerek kendi filmografisi içerisinde aykırılık elde eden bir y...",tarafsız
"
2020 yılında güncel ve popüler bir romanın uyarlaması olan Normal People ile bir anda yıldızlaşan Daisy Edgar-Jones, sıradaki işlerini ilgiyle takip ettiğimiz biri haline gelmişti. Genç İngiliz'in bu dizi sonr...",tarafsız
"
Yılın en heyecan yaratan uluslararası film projelerinden biri Güney Kore'den geldi. 2018'deki Shoplifters ile büyük sükse yapan Japon yönetmen Hirokazu Koreeda'nın ilk Kore filminde Parasite ile kariyer zirves...",tarafsız
"
Sadece bu yılın değil, son birkaç yılın en çok beklenti yaratan projelerinden biriydi Ana de Armas'ın Marilyn Monroe'yu canlandıracağı biyografi. Filmden ilk fotoğraflar paylaşıldığından beri Ana de Armas'a Os...",tarafsız
"
Bu yılki Sundance Film Festivali'nin dikkat çeken filmlerinden biri genç yönetmen John Patton Ford'un ilk uzun metrajı ""Emily the Criminal"" oldu. Özellikle başrolünde yer alan Aubrey Plaza'nın performansıyla e...",tarafsız
"
Get Out ve Us gibi iki şahane filmle hızlıca çağımızın en heyecan verici yönetmenleri arasına giren Jordan Peele, arayı fazla açmadan yılın en çok beklenti yaratan filmlerinden ""Nope"" ile geri döndü. Ne var ki...",tarafsız
"
İtalyanların dünya kültür mirasına kazandırdıkları en önemli masallardan Pinokyo, sinema dünyasının da sıklıkla gündemine geliyor. 2022 ise Hollywood'un Pinokyo sevgisinin her zamankinden de üst düzeye çıktığı...",tarafsız
"
Bu yazın dijital platform dünyasındaki ilgi çekici filmlerinden bir tanesi Paramount+'tan geldi. The Devil Wears Prada, Marley & Me gibi filmleriyle tanınan David Frankel'ın yönettiği Jerry & Marge Go ...",tarafsız
"
Yaz aylarının eleştirel başarısıyla adından söz ettiren filmlerinden biri Avrupa'dan geldi. İngiliz yönetmen Anthony Fabian imzası taşıyan Mrs. Harris Goes to Paris, rengarenk afişinin de katkısıyla kolayca di...",tarafsız
"
Geleneksel sinemaların tarihteki en zorlu dönemeçlerinden birinden geçtiği şu günlerde sinemaların can simidi 80'lerden geldi... 1986 yılının en çok gişe yapan filmi Top Gun, günümüzde hala çok ünlü bir film o...",olumsuz
"
Kariyerinin büyük çoğunluğunu ucuz komedilerde harcayan Adam Sandler, 2019 yapımı Uncut Gems ile aslında ne kadar yetenekli bir oyuncu olduğunu hatırlatmıştı. Bu filmle gördüğü ilgi Sandler'ın da hoşuna gitmiş...",tarafsız
"
2018 yapımı Bohemian Rhapsody'nin yakaladığı olağanüstü başarı, müzik dünyasının ikonik isimlerine dair yeni bir biyografi filmi dalgasını doğurdu. Bu furyanın en heyecan verici eserlerinden bir tanesi ise The...",tarafsız
"
Her yıl genç sinemacılardan taptaze işlerin bizlerle buluşmasına vesile olan Sundance Film Festivali'nin bu yıl en çok dikkat çeken filmlerinden bir tanesi henüz 25 yaşındaki Cooper Raiff'ten çıktı. Genç sinem...",tarafsız
"
Hollywood'un en ilginç kariyerlerinden birine sahip Nicolas Cage, Oscarlı bir oyuncu olmasına karşın filmografisini ""B filmi"" denilebilecek ucuz aksiyon filmleriyle doldurdu ve defalarca Razzie'de en kötü oyun...",tarafsız
"
Yılın ilk yarısının hoş sürprizlerinden bir tanesi, daha önce The Imitation Game ile Oscar kazanan senarist olarak tanıdığımız Graham Moore'dan geldi. Amerikalı yazarın yönetmen koltuğundaki ilk uzun metrajı o...",tarafsız
"
Son dönemdeki arthouse korku filmi furyasının bu yılki ilk çok ses getiren temsilcisi, A24'ün Ti West yönetmenliğindeki filmi ""X"" oldu. Her ne kadar bu furyadaki filmlere oldukça temkinli yaklaşsam da Mia Goth...",tarafsız
"
Amerikalı genç yönetmen Charlie McDowell'ın 2014 imzalı ilk filmi ""The One I Love"", ilk gösterildiği dönemde es geçtiğim filmlerden biriydi. Yıllar sonra şans verdiğim filmin harika bir sürprize dönüşmesi, yön...",tarafsız
"
Birlikte çektikleri ilk filmleri Swiss Army Man ile kendi yılının en çok tartışılan filmlerinden birine imza atan Daniel Kwan ve Daniel Scheinert ikilisi, altı yıl sonra çılgın bir geri dönüşle karşımızdalar. ...",tarafsız
"
Amerikan sinemasındaki eski ihtişamlı günleri çok uzakta kalan romantik komedi türünün kayda değer örneklerine bugünlerde nadiren rastlıyoruz. Özellikle daha ciddi işlerin yormaya başladığı dönemlerde ilaç gib...",tarafsız
"
80'li yılların sonlarında başlayıp 90'lı yıllarda devam eden ilişki gerilimi furyasının en önemli temsilcilerinden biriydi Adrian Lyne. Şimdilerde 80'li yaşlarındaki İngiliz yönetmen, son olarak bundan yirmi y...",tarafsız
"
2021 sezonunun sonrasında güncel filmlere vermiş olduğum makul bir aranın ardından yepyeni filmlerle yeni sezonu açma vakti... Yeni sezonun ilk filmi 2022'nin en çok beklenti yaratan filmlerinden biri olan ""Th...",tarafsız
"
Bu yılki İstanbul Film Festivali'nin çevrimiçi gösterimleri son anda iptal olmasaydı izleyeceğim filmlerden biriydi Sardunya. Çağıl Bocut'un ilk uzun metrajlı olma özelliğine sahip film, festivalde üç önemli ö...",tarafsız
"
Oscarların uluslararası film kategorisinde hemen her yıl çok sürpriz bir coğrafyadan karşımıza bir aday çıkıyor. Bu yılın en büyük sürprizi ise şüphesiz Butan'ın Oscar temsilcisi olan ""Lunana: A Yak in the Cla...",tarafsız
"
Yıldızımın bir türlü barışmadığı ünlü yönetmenlerden olan Guillerme del Toro, bir önceki filmi The Shape of Water ile en iyi film Oscar'ı dahil pek çok ödülü silip süpürmüştü. Son yılların en zayıf Oscar galip...",olumsuz
"
2021'in iddialı müzikallerinden bir tanesi de ünlü İngiliz yönetmen Joe Wright'tan geldi. Her ne kadar beklentilerin altında kalan tepkiler alsa da hem Peter Dinklage'in performansı epey takdir topladı, hem de...",tarafsız
"
Süper kahramanlık filmlerinin altın çağında Marvel sinematik evreni filmleri başarıdan başarıya koşmaya devam ediyor. Sene başında yeni bir Spider-Man filminin yılın en büyük sinema olaylarından birine dönüşec...",tarafsız
"
2021'in pek verimli geçen Cannes Film Festivali'nde en çok heyecanlandıran filmlerden biri de Finlandiyalı yönetmen Juho Kuosmanen imzalı Compartment Number 6 idi. Festivaldeki Grand Prix ödülünü Farhadi'nin A...",olumsuz
"
Geçtiğimiz yılki Sundance Film Festivali'nin en çok ses getiren filmlerinden biri de daha çok oyunculuk yönüyle bilinen Fran Kranz'in ilk uzun metrajlı filmi ""Mass"" oldu. Özellikle oyunculuklarıyla çok konuşul...",olumsuz
"
İspanyol sinemasının nevi şahsına münhasır yönetmeni Pedro Almodovar, yeni filmleriyle adından söz ettirmeye devam ediyor. Son olarak 2019'daki Pain & Glory ile son yıllardaki en iyi tepkilerini alan yönet...",tarafsız
"
Online film festivalleri, pandemi döneminin nadir güzellikleri arasındaydı. İstanbul'un belli başlı birkaç semtine yakın olmayanlar için fırsat eşitliği sağlayan bu festivaller sayesinde kaliteli yerli filmler...",tarafsız
"
Kısa süre öncesine dek yerli sinemamızdan çıkan kaliteli, fakat bunun ülkemizdeki üzücü doğal sonucu olarak az sayıda salonda gösterilen filmleri izlemek için çoğu zaman uzun yıllar beklememiz gerekiyordu. Ney...",tarafsız
"
Şu günlerde Gain'de devam eden MyFrenchFilmFestival kapsamında izlediğim ikinci ve muhtemelen son film, bir ilk film olan ""Playlist"" oldu. Nine Antico yönetmenliğindeki filmin güçlü referansları olmasa da sevd...",tarafsız
"
Bu yıl on ikinci kez düzenlenen MyFrenchFilmFestival, dünyanın dört bir yanındaki sinema izleyicilerini Fransız sinemasının yıl içinde öne çıkan yapımlarıyla tanıştırmayı hedefliyor. Bu yıl ülkemizde Gain ile ...",tarafsız
"
Pek çok otoriteye göre dünyanın gelmiş geçmiş en büyük yazarı kabul edilen William Shakespeare, ölümünün üzerinden yüzlerce yıl geçmesine karşın pek çok sanat dalını çok yakından etkilemeye devam ediyor. Dünya...",olumsuz
"
Son dönemde karşımıza sıkça çıkmaya başlayan Gürcü sinemasının bu yılki en popüler filmlerinden biri ilk gösterimini Berlin Film Festivali'nde yapıp burada FIPRESCI ödülünü kazanma başarısı gösteren ""What Do W...",tarafsız
"
Oyunculuktan yönetmenliğe geçiş yapan kadın oyuncular furyasının son temsilcilerinden biri de Maggie Gyllenhaal oldu. Deneyimli oyuncu, My Brilliant Friend dizisine konu olan eserinden hatırlayabileceğimiz İta...",tarafsız
"
Yönetmenliğini üstlendiği son filmlerin tümü fiyaskoya dönüşse de Hollywood'daki sonsuz kredi ve varlığı sayesinde George Clooney, hız kesmeden yeni filmlerle yoluna devam ediyor. Her ne kadar George Clooney'n...",tarafsız
"
Beginners ve 20th Century Women gibi filmlerle adından söz ettiren Amerikalı yönetmen Mike Mills, beş yıllık aranın ardından iddialı bir filmle döndü. Çiçeği burnunda Oscarlı Joaquin Phoenix'i kadrosunda bulun...",olumsuz
"
Hollywood'un en geniş hayran kitlesine sahip yönetmenlerinden biri olan Paul Thomas Anderson, aynı zamanda ana akım izleyiciye epey mesafeli filmler üreten bir isim. Ben de filmlerini dört gözle bekleyen çoğun...",tarafsız
"
Amerikan bağımsız sinemasının yükselen değerlerinden Sean Baker, özellikle bir önceki filmi The Florida Project ile epey sükse yapmıştı. Yönetmenlik başarısını takdir etsem de senaryosunu sevmediğim bu film so...",tarafsız
"
Çağımızın en nevi şahsına münhasır yönetmenleri arasında yer alan ve geniş bir hayran kitlesi bulunan Wes Anderson'ın o geniş kitlesinin bir parçası olduğumu söyleyemem. Buna karşın yönetmenin en iyi iki filmi...",olumsuz
"
Özellikle çocuklu ailelerin katkılarıyla animasyon türü gün geçtikçe geleneksel sinemanın içinde daha da önemli bir yer edinmeye devam ediyor. Türe olan bu yüksek talebe karşılık Hollywood'un büyük stüdyoları ...",tarafsız
"
Ülke olarak bugüne kadar tek bir aday çıkaramamak bir yana 2008 yapımı Üç Maymun dışında kısa listeye dahi aday ulaştırmayı başaramasak da her yıl Oscar'ın uluslararası film kategorisi sayesinde bambaşka ülkel...",tarafsız
"
Takvim yılı olarak 2021'i geride bırakmış olsak da sinema yılı olarak bir süre daha 2021 filmleriyle yolumuza devam edeceğiz. Yeni takvim yılında izleme şansı yakaladığım ilk film ise Başka Sinema'nın ""Başka 1...",tarafsız
"
Festival turuna 2020'deki Antalya Altın Portakal Film Festivali'nde başlayan Çatlak, pek çok ödül ve övgü topladıktan sonra nihayet genel gösterimiyle karşımıza çıktı. Yönetmeni Fikret Reyhan'ın ikinci uzun me...",tarafsız
"
Amerikan sinemasında son dönemin gözde bağımsız film şirketi A24'ün bu sezonki iddialı yapımlarından bir tanesi de Broadway'den beyazperdeye taşınan ""The Humans"" idi. Stephen Karam'ın Tony ödüllü kendi senaryo...",tarafsız
"
Will Ferrell ile çektiği gişe komedileriyle cebini dolduran Adam McKay, 2015 yapımı The Big Short ile birlikte kariyerinde bambaşka bir sayfa açtı. Yıldızlar topluluğu bu film, McKay'in yönetmen Oscar'ına aday...",tarafsız
"
Sinema dünyasının en ünlü senaristlerinden Aaron Sorkin, çok uzun yıllar sadece senaryo tarafında kaldıktan sonra 2017'deki Molly's Game ile yönetmenlik koltuğuna geçme kararı almıştı. Geçen yılki The Trial of...",tarafsız
"
2017 yapımı The Big Sick ile son yılların en iyi romantik komedilerinden bir tanesine imza atan Michael Showalter, buna karşın henüz bir yönetmen olarak kendisini tam anlamıyla kanıtlayabilmiş değil. Showalter...",olumsuz
"
Alfonso Cuaron'un Roma ile yakaladığı başarı, ünlü yönetmenler arasında ""kişisel film"" furyasının başlangıcı oldu. Bu furyaya kapılanlardan biri de İtalyan sinemasının son dönemdeki en önemli yönetmeni olarak ...",tarafsız
"
Sinemanın başına gelen en güzel şeylerden biri olan Steven Spielberg'ün dahiliğinin önemli göstergelerinden biri de hemen her türde üst düzey ürünler ortaya koyabilmesi. En son 2018'de oldukça genç işi görüntü...",tarafsız
"
Bu yılın Cannes Film Festivali'nde dikkat çeken filmlerden bir tanesi de Avustralyalı yönetmen Justin Kurzel'in en yeni filmi olan ""Nitram"" oldu. Festivalde başrol oyuncusu Caleb Landry Jones'a en iyi erkek oy...",tarafsız
"
80'lerin sonu, 90'ların başında RoboCop, Total Recall ve de Basic Instinct gibi önemli filmlere imza atan Hollandalı yönetmen Paul Verhoeven'in 2000'li yıllarını pek üretken geçirdiği söylenemez. Buna karşın 2...",tarafsız
"
2021'in sona ermesine artık sayılı günler kala ödül sezonunun iddialı filmleri teker teker karşımıza çıkmaya devam ediyor. Bu filmlerden biri de Warner Bros'un Reinaldo Marcus Green yönetmenliğinde hazırladığı...",tarafsız
"
Bugüne kadar dört farklı filmle beş farklı kategoride Oscar adaylığı kazanmayı başaran Kenneth Branagh, bu yönüyle dünya üzerindeki en enteresan isimlerden biri. Her ne kadar Kuzey İrlandalı sinemacının yönetm...",tarafsız
"
1993 yapımı The Piano, yönetmeni Jane Campion'ın pek çok farklı yönden sinema tarihine adını yazdırmasını sağladı. Kadın yönetmenlerin esamesinin okunmadığı yıllarda pek çok ödül kazanan bu filmin ardından ise...",olumsuz
"
İlk gösterimini 2020'deki Sundance Film Festivali'nde yapıp epey övgü toplayan Nine Days, nihayet 2021 sonlarına girilirken izleyici karşısına çıkabildi. Japon-Brezilyalı yönetmen Edson Oda'nın ilk uzun metraj...",tarafsız
"
84. yaş gününü kutlamak için gün sayan Ridley Scott, sadece meslektaşlarına değil tüm insanlığa ders niteliğindeki verimlilikte bir yıl geçiriyor. Bu yılki ödül sezonuna iki iddialı film birden yetiştiren usta...",tarafsız
"
2019 yapımı Portrait of a Lady on Fire'ın büyük başarısı Céline Sciamma'nın yeni işlerini de merakla beklememizi sağladı. Fransız yönetmen de arayı fazla açmayarak 72 dakikalık süresiyle az farkla uzun metrajl...",tarafsız
"
Amazon Prime Video'nun bu yılki ödül sezonunda iddialı olması muhtemel filmlerinden biri de Will Sharpe yönetmenliğindeki Louis Wain biyografisi ""The Electrical Life of Louis Wain"" idi. Her ne kadar filmin ilk...",tarafsız
"
Ölümünün ardından 25 yıla yakın bir süre geçmesine karşın Prenses Diana ile ilgili hemen her şey insanların ilgisini kolayca çekmeye devam ediyor. Şilili ünlü yönetmen Pablo Larrain'in bir Diana filmi çekeceği...",tarafsız
"
Son yıllarda Broadway denilince akla belki de ilk gelen isim olan Lin-Manuel Miranda, gün geçtikçe beyaz perdedeki etkinliğini de arttırıyor. Bu yaz gösterime giren In the Heights'ın ardından bu kez yönetmenli...",tarafsız
"
Günümüz sinemasının en heyecan verici isimlerinden Edgar Wright, tanıdık konulara getirdiği özgün yorumlarla pek çok başarılı komedi işine imza atmıştı. 2017 yapımı Baby Driver ise İngiliz yönetmenin artık kal...",olumsuz
"
Artık sonuna yaklaşmaya başladığımız yılın kıyıda köşede kalan filmlerinden biri de varlığından haberdar dahi olmadığım ve tesadüf eseri karşıma çıkan ""Blue Bayou"" idi. Koreli yönetmen/oyuncu Justin Chon'un he...",tarafsız
"
Son dönemde Amerikan sinemasında yönetmen koltuklarındaki kadın-erkek sayısındaki büyük eşitsizliğin giderilmesine yönelik değerli bir çaba mevcut. Bu çaba, özellikle son birkaç yıldır kadın oyuncuları yönetme...",tarafsız
"
Yılın en çok heyecan yaratan yerli filmlerinden biri Berlin Film Festivali’nden geldi. Buradaki panaroma bölümünden ödülle dönen Okul Tıraşı, yıl içinde pek çok festivalde dolaşıp çeşitli ödüller kazanmayı sür...",olumsuz
"
Televizyon tarihinin en görkemli bölümlerine ev sahipliği yapan Game of Thrones'ta yönetmen koltuğundaki varlığı en çok heyecan yaratan isim Miguel Sapochnik idi. Dizinin pek çok unutulmaz bölümüne imza atan A...",olumsuz
"
Cannes Film Festivali'nin sinema dünyasındaki prestiji tartışmasız olsa da festivaldeki ödüllerin adresi çoğu yıl pek çok tartışmayı beraberinde getiriyor. Son yılların en enteresan sonuçlarından biri de bu yı...",tarafsız
"
1999 ve 2007 yılları arasında yayınlanan The Sopranos, bugün hem HBO'nun yükselişinin hem de Amerikan dizilerindeki büyük değişimin en önemli dönüm noktalarından biri olarak kabul ediliyor. Her ne kadar yayınl...",tarafsız
"
Bu yılki Cannes Film Festivali'nin çarpıcı filmlerinden biri Fransız yönetmen Mia Hansen-Love'dan geldi. Daha önce yönetmenin herhangi bir işini izlememiş olsam da filmin seçtiği ilginç konsept kolayca ilgimi ...",tarafsız
"
Pandemi döneminde ertelenme haberleriyle sık sık gündeme gelen filmlerden biri de Disney'in Shawn Levy yönetmenliğindeki aksiyon komedisi ""Free Guy"" idi. Doğrusu ucuz bir gişe filmi olduğunu düşündüğüm filmle ...",tarafsız
"
Farklı türlerde başarılı eserler ürettikten sonra 2015 yapımı Arrival ile son yılların en özgün bilim-kurgu filmlerinden birine imza atan Denis Villeneuve, bu filmin başarısından aldığı özgüvenle gözünü cesare...",tarafsız
"
Sinema dünyamızın en çalışkan veteranlarından biri de 84 yaşını doldurmak için gün sayan İngiliz yönetmen Ridley Scott. Bu yıla iki çok iddialı film birden sığdıran yönetmenin bu işlerinden House of Gucci için...",tarafsız
"
Sadece İran sinemasının değil dünya sinemasının son dönemdeki en önemli yönetmenlerinden biri olan Asghar Farhadi, The Salesman ile ikinci Oscar ödüllü filmine imza attıktan sonra ülkesi dışına çıktığı Everybo...",tarafsız
"
Festival çevrelerinde yılın en çok heyecan yaratan filmlerinden bir tanesi Norveç'ten geldi. Ünlü yönetmen Joachim Trier imzalı The Worst Person in the World, ilk gösterimini yaptığı Cannes Film Festivali'nde ...",olumsuz
"
En köklü ve prestijli film festivallerinin ilk sıralarında gelen Venedik Film Festivali'nin bu yıl en çok ses getiren filmi ""Happening"" ya da orijinal adıyla ""L'événement"" oldu. Fransız yönetmen Audrey Diwan'ı...",tarafsız
"
Pandemi henüz başlamamışken, sinemaya gitmek hayatımızın vazgeçilmez rutinlerinden biriyken Daniel Craig'li James Bond serisinin final filminin heyecanı sarmaya başlamıştı. Billie Ellish'in filme özel, filmle ...",tarafsız
"
İlk olarak BluTV dizisi 7Yüz'ün devam filmi olarak yola çıkan İnsanlar İkiye Ayrılır, geçtiğimiz yılki Altın Portakal Film Festivaliyle sıradan bir platform filmi olmadığını herkese ilan etmişti. Bu festivalde...",tarafsız
"
Sinemanın 91 yaşındaki efsanesi Clint Eastwood, yaşına aldırmaksızın üretmeye tüm hızıyla devam ediyor. Bir ara oyunculuğu bırakıp sadece yönetmenliğe devam etse de 2018 yapımı The Mule ile kamera önünden de v...",tarafsız
"
İstanbul Modern'in sinemaseverlere sunduğu şahane çevrimiçi film festivallerinden bir yenisi geçtiğimiz gün ""Aşk Yeniden"" konseptiyle birlikte başladı. Etkinliğin açılış filmi ise ilk gösterimini Berlin Film F...",tarafsız
"
Geçen yılki hiç yapılmayan Cannes Film Festivali'nin seçkisindeki filmlerden biri olan Gagarine, uzun süren festival turunun ardından 2021'de yaygın gösterimini yapmaya başladı. Filmin ülkemizdeki ilk duraklar...",tarafsız
"
Fransız sinemasının geniş kitlelerce keşfedilmeyi bekleyen yönetmenlerinden Guillaume Brac, en yeni filmiyle geçen yılki Berlin Film Festivalinde dikkat çekmeyi başardı. Bu festivalde özel bir ödül kazanan All...",tarafsız
"
Bir pandemi yüzünden aylarca evlere kapanıp, bir buçuk yılı aşkın süre sinema salonlarından uzak kalmayı hayal bile edemediğim son günlerde sinemada izlenecek filmler listemin en ön sırasında pek sevdiğim 2018...",tarafsız
"
Geçtiğimiz yılın ödül sezonundan bu yıla sarkan filmlerden bir tanesi de son olarak 2012'de Holy Motors'u çeken aykırı Fransız yönetmen Leos Carax'ın merakla bekleyeni çok olan ilk İngilizce filmi ""Annette"" ol...",olumsuz
"
Oscar kazanan filmler, yönetmenleri için baş etmesi zor bir yeni beklenti çıtasını da beraberinde getiriyor. Özellikle de büyük sıçramasını Oscar kazandığı filmle yapan yönetmenlerin kariyerlerinin yeni güzerg...",tarafsız
"
Son yılların en ünlü Amerikan bağımsız film şirketlerinden A24'ün bu yılki en iddialı işlerinden biri şüphesiz geçen yıldan bu yıla sarkan ""The Green Knight"" idi. Yılın eleştirmenler ve genel izleyiciyi en net...",tarafsız
"
Netflix'in yaz ekranında en çok ilgi gören filmlerden biri ""About a Boy"" ile tanınan Paul Weitz'in yönetmenliğindeki ""Fatherhood"" oldu. Eleştirmenlerin pek sevmeyip çoğunlukla klişe bulduğu film, izleyici tara...",tarafsız
"
Bu yılki Sundance Film Festivali'nin en çok ilgi toplayan filmi, etkinliğin prestijli ödüllerinin hemen hepsini silip süpürüp ödül sayısı rekoru kıran CODA oldu. İlk filmi Tallulah'ın beş yıl sonrasında geri d...",tarafsız
"
2021'in şu ana dek en sürpriz başarı yakalayan filmlerinden biri geçtiğimiz ay gösterime giren ve yönetmeni Michael Sarnoski'nin ilk uzun metrajı olma özelliği taşıyan ""Pig"" oldu. Özellikle Nicolas Cage'in per...",tarafsız
"
Popüler kültüre hizmet eden eserleriyle son dönemin ünlü İngiliz yazarlarından birine dönüşen Jojo Moyes, özellikle 2016 yapımı  Me Before You ile büyük sükse yapıp ününe ün katmıştı. Eleştirel anlamda vasatı ...",tarafsız
"
Festival turuna 2020'de başlayıp bir ara İstanbul Film Festivali'ne de uğramış olsa da İsveç - Polonya ortak yapımı Sweat'in yaygın gösterimi 2021'e sarktı. Türkiye dahil pek çok ülkede filmin yayın aracı ise ...",tarafsız
"
Müzikaller açısından son derece bereketli geçmesini beklediğimiz 2021'in ilk önemli müzikali geçtiğimiz haftalarda HBO Max ve Warner Bros. ortaklığında karşımıza çıktı. Geçen yıl Disney+'ta gösterilen Hamilton...",tarafsız
"
Ana akım yerli sinemanın kalitesinin son yıllarda biraz olsun artmasına katkıda bulunan yönetmenlerden olan Ozan Açıktan, Netflix'in ilk yerli filmine imza atma şansı yakalayan yönetmen olmuştu. Ne var ki bu i...",tarafsız
"
Bu yılki Berlin Film Festivali'nden İstanbul Film Festivali'nin haziran seçkisine sıçrayan filmlerin bir diğeri de benim için festivalin kapanış filmi olan ""Fabian: Going to the Dogs"" idi. Daha çok televizyond...",tarafsız
